# Intensity Error [H,0,0] DeltaE
#  shape: 140x100
5.571722e-05 1.000763e-05 3.025000e+00 5.025000e+01
6.701520e-05 1.073150e-05 3.025000e+00 5.075000e+01
6.146155e-05 1.010462e-05 3.025000e+00 5.125000e+01
6.825316e-05 1.053216e-05 3.025000e+00 5.175000e+01
5.565614e-05 9.408046e-06 3.025000e+00 5.225000e+01
4.916041e-05 8.975721e-06 3.025000e+00 5.275000e+01
5.314069e-05 9.394550e-06 3.025000e+00 5.325000e+01
4.180972e-05 8.200081e-06 3.025000e+00 5.375000e+01
4.867103e-05 8.741896e-06 3.025000e+00 5.425000e+01
5.771971e-05 9.489637e-06 3.025000e+00 5.475000e+01
5.563262e-05 9.272506e-06 3.025000e+00 5.525000e+01
4.259737e-05 8.198230e-06 3.025000e+00 5.575000e+01
4.569755e-05 8.636363e-06 3.025000e+00 5.625000e+01
5.799541e-05 9.666303e-06 3.025000e+00 5.675000e+01
3.911661e-05 7.984997e-06 3.025000e+00 5.725000e+01
6.098337e-05 9.893215e-06 3.025000e+00 5.775000e+01
4.642934e-05 8.621975e-06 3.025000e+00 5.825000e+01
4.104870e-05 8.379275e-06 3.025000e+00 5.875000e+01
5.431847e-05 9.602422e-06 3.025000e+00 5.925000e+01
5.635249e-05 9.809923e-06 3.025000e+00 5.975000e+01
6.362103e-05 1.018781e-05 3.025000e+00 6.025000e+01
5.193002e-05 9.481316e-06 3.025000e+00 6.075000e+01
6.389040e-05 1.064870e-05 3.025000e+00 6.125000e+01
4.236660e-05 8.648291e-06 3.025000e+00 6.175000e+01
5.800024e-05 9.804143e-06 3.025000e+00 6.225000e+01
4.572992e-05 8.968596e-06 3.025000e+00 6.275000e+01
5.251972e-05 9.752910e-06 3.025000e+00 6.325000e+01
4.980629e-05 9.249044e-06 3.025000e+00 6.375000e+01
4.684500e-05 9.015547e-06 3.025000e+00 6.425000e+01
4.448025e-05 9.275003e-06 3.025000e+00 6.475000e+01
4.288577e-05 8.942489e-06 3.025000e+00 6.525000e+01
4.304145e-05 8.974872e-06 3.025000e+00 6.575000e+01
2.822899e-05 7.829412e-06 3.025000e+00 6.625000e+01
3.846545e-05 8.824758e-06 3.025000e+00 6.675000e+01
3.644909e-05 8.840392e-06 3.025000e+00 6.725000e+01
3.050009e-05 8.459261e-06 3.025000e+00 6.775000e+01
2.356706e-05 7.105954e-06 3.025000e+00 6.825000e+01
3.373038e-05 9.015050e-06 3.025000e+00 6.875000e+01
3.748534e-05 9.091799e-06 3.025000e+00 6.925000e+01
2.125871e-05 7.086577e-06 3.025000e+00 6.975000e+01
3.757378e-05 9.393979e-06 3.025000e+00 7.025000e+01
3.607087e-05 9.313821e-06 3.025000e+00 7.075000e+01
3.245611e-05 9.001907e-06 3.025000e+00 7.125000e+01
2.995163e-05 8.646534e-06 3.025000e+00 7.175000e+01
1.884928e-05 7.124508e-06 3.025000e+00 7.225000e+01
2.397009e-05 7.990251e-06 3.025000e+00 7.275000e+01
2.327751e-05 7.759280e-06 3.025000e+00 7.325000e+01
1.552323e-05 5.867403e-06 3.025000e+00 7.375000e+01
2.219216e-05 6.691397e-06 3.025000e+00 7.425000e+01
2.287485e-05 6.603477e-06 3.025000e+00 7.475000e+01
2.258371e-05 6.519441e-06 3.025000e+00 7.525000e+01
2.247736e-05 6.488748e-06 3.025000e+00 7.575000e+01
2.037841e-05 6.144410e-06 3.025000e+00 7.625000e+01
1.478632e-05 5.227844e-06 3.025000e+00 7.675000e+01
1.456169e-05 5.148434e-06 3.025000e+00 7.725000e+01
2.875640e-05 7.189189e-06 3.025000e+00 7.775000e+01
1.441881e-05 5.097867e-06 3.025000e+00 7.825000e+01
2.387415e-05 6.621559e-06 3.025000e+00 7.875000e+01
2.470467e-05 6.851947e-06 3.025000e+00 7.925000e+01
1.580163e-05 5.586775e-06 3.025000e+00 7.975000e+01
1.858930e-05 6.196538e-06 3.025000e+00 8.025000e+01
8.766597e-06 4.383310e-06 3.025000e+00 8.075000e+01
3.296803e-05 8.811106e-06 3.025000e+00 8.125000e+01
1.493123e-05 6.095663e-06 3.025000e+00 8.175000e+01
2.624540e-05 8.299571e-06 3.025000e+00 8.225000e+01
2.349302e-05 8.306052e-06 3.025000e+00 8.275000e+01
1.539379e-05 7.696907e-06 3.025000e+00 8.325000e+01
2.239425e-05 1.292936e-05 3.025000e+00 8.375000e+01
0.000000e+00 0.000000e+00 3.025000e+00 8.425000e+01
0.000000e+00 0.000000e+00 3.025000e+00 8.475000e+01
nan nan 3.025000e+00 8.525000e+01
nan nan 3.025000e+00 8.575000e+01
nan nan 3.025000e+00 8.625000e+01
nan nan 3.025000e+00 8.675000e+01
nan nan 3.025000e+00 8.725000e+01
nan nan 3.025000e+00 8.775000e+01
nan nan 3.025000e+00 8.825000e+01
nan nan 3.025000e+00 8.875000e+01
nan nan 3.025000e+00 8.925000e+01
nan nan 3.025000e+00 8.975000e+01
nan nan 3.025000e+00 9.025000e+01
nan nan 3.025000e+00 9.075000e+01
nan nan 3.025000e+00 9.125000e+01
nan nan 3.025000e+00 9.175000e+01
nan nan 3.025000e+00 9.225000e+01
nan nan 3.025000e+00 9.275000e+01
nan nan 3.025000e+00 9.325000e+01
nan nan 3.025000e+00 9.375000e+01
nan nan 3.025000e+00 9.425000e+01
nan nan 3.025000e+00 9.475000e+01
nan nan 3.025000e+00 9.525000e+01
nan nan 3.025000e+00 9.575000e+01
nan nan 3.025000e+00 9.625000e+01
nan nan 3.025000e+00 9.675000e+01
nan nan 3.025000e+00 9.725000e+01
nan nan 3.025000e+00 9.775000e+01
nan nan 3.025000e+00 9.825000e+01
nan nan 3.025000e+00 9.875000e+01
nan nan 3.025000e+00 9.925000e+01
nan nan 3.025000e+00 9.975000e+01
8.402168e-05 1.266729e-05 3.075000e+00 5.025000e+01
5.946018e-05 1.051168e-05 3.075000e+00 5.075000e+01
7.616112e-05 1.161508e-05 3.075000e+00 5.125000e+01
5.931241e-05 1.002611e-05 3.075000e+00 5.175000e+01
5.900380e-05 9.834399e-06 3.075000e+00 5.225000e+01
5.618338e-05 9.497166e-06 3.075000e+00 5.275000e+01
5.379603e-05 9.365207e-06 3.075000e+00 5.325000e+01
6.971451e-05 1.088796e-05 3.075000e+00 5.375000e+01
5.355200e-05 9.467015e-06 3.075000e+00 5.425000e+01
5.998122e-05 9.861249e-06 3.075000e+00 5.475000e+01
5.557606e-05 9.394555e-06 3.075000e+00 5.525000e+01
4.223279e-05 8.128124e-06 3.075000e+00 5.575000e+01
4.818396e-05 8.654429e-06 3.075000e+00 5.625000e+01
5.219814e-05 9.227819e-06 3.075000e+00 5.675000e+01
6.238128e-05 9.989442e-06 3.075000e+00 5.725000e+01
6.936182e-05 1.045704e-05 3.075000e+00 5.775000e+01
4.913954e-05 8.826152e-06 3.075000e+00 5.825000e+01
4.949690e-05 8.750216e-06 3.075000e+00 5.875000e+01
4.883313e-05 8.915958e-06 3.075000e+00 5.925000e+01
5.939675e-05 9.899801e-06 3.075000e+00 5.975000e+01
6.113909e-05 1.005153e-05 3.075000e+00 6.025000e+01
5.498354e-05 9.429806e-06 3.075000e+00 6.075000e+01
5.876155e-05 9.793849e-06 3.075000e+00 6.125000e+01
5.685185e-05 9.896816e-06 3.075000e+00 6.175000e+01
5.029392e-05 9.339622e-06 3.075000e+00 6.225000e+01
5.811981e-05 9.824311e-06 3.075000e+00 6.275000e+01
4.382602e-05 8.595251e-06 3.075000e+00 6.325000e+01
4.645568e-05 9.110954e-06 3.075000e+00 6.375000e+01
3.180064e-05 7.495575e-06 3.075000e+00 6.425000e+01
3.821403e-05 7.968357e-06 3.075000e+00 6.475000e+01
3.930039e-05 8.379091e-06 3.075000e+00 6.525000e+01
3.490354e-05 8.007690e-06 3.075000e+00 6.575000e+01
2.744612e-05 6.861702e-06 3.075000e+00 6.625000e+01
2.818064e-05 7.276375e-06 3.075000e+00 6.675000e+01
3.540922e-05 8.346272e-06 3.075000e+00 6.725000e+01
3.185201e-05 7.725371e-06 3.075000e+00 6.775000e+01
3.475761e-05 8.689522e-06 3.075000e+00 6.825000e+01
2.707453e-05 7.509339e-06 3.075000e+00 6.875000e+01
3.057679e-05 8.172173e-06 3.075000e+00 6.925000e+01
2.811850e-05 8.117199e-06 3.075000e+00 6.975000e+01
2.415222e-05 7.282451e-06 3.075000e+00 7.025000e+01
1.935536e-05 6.843280e-06 3.075000e+00 7.075000e+01
3.598830e-05 8.997331e-06 3.075000e+00 7.125000e+01
3.776226e-05 9.750438e-06 3.075000e+00 7.175000e+01
2.439744e-05 7.715323e-06 3.075000e+00 7.225000e+01
1.318909e-05 5.898544e-06 3.075000e+00 7.275000e+01
1.013997e-05 5.070024e-06 3.075000e+00 7.325000e+01
1.356331e-05 6.065890e-06 3.075000e+00 7.375000e+01
3.155920e-05 9.110523e-06 3.075000e+00 7.425000e+01
1.564127e-05 6.385679e-06 3.075000e+00 7.475000e+01
2.251089e-05 7.118673e-06 3.075000e+00 7.525000e+01
2.854768e-05 7.629844e-06 3.075000e+00 7.575000e+01
2.684723e-05 7.175353e-06 3.075000e+00 7.625000e+01
1.140289e-05 4.655286e-06 3.075000e+00 7.675000e+01
1.507378e-05 5.329544e-06 3.075000e+00 7.725000e+01
2.047546e-05 6.173636e-06 3.075000e+00 7.775000e+01
1.835768e-05 5.805295e-06 3.075000e+00 7.825000e+01
2.728390e-05 7.044820e-06 3.075000e+00 7.875000e+01
2.724727e-05 7.035309e-06 3.075000e+00 7.925000e+01
1.487392e-05 5.258736e-06 3.075000e+00 7.975000e+01
1.724141e-05 5.747261e-06 3.075000e+00 8.025000e+01
1.194561e-05 4.876806e-06 3.075000e+00 8.075000e+01
1.461056e-05 5.522309e-06 3.075000e+00 8.125000e+01
2.872752e-05 7.967632e-06 3.075000e+00 8.175000e+01
1.424842e-05 5.816909e-06 3.075000e+00 8.225000e+01
1.008196e-05 5.040993e-06 3.075000e+00 8.275000e+01
1.607925e-05 6.564355e-06 3.075000e+00 8.325000e+01
9.044612e-06 5.221910e-06 3.075000e+00 8.375000e+01
4.036496e-06 4.036497e-06 3.075000e+00 8.425000e+01
3.320703e-05 1.660354e-05 3.075000e+00 8.475000e+01
0.000000e+00 0.000000e+00 3.075000e+00 8.525000e+01
0.000000e+00 0.000000e+00 3.075000e+00 8.575000e+01
nan nan 3.075000e+00 8.625000e+01
nan nan 3.075000e+00 8.675000e+01
nan nan 3.075000e+00 8.725000e+01
nan nan 3.075000e+00 8.775000e+01
nan nan 3.075000e+00 8.825000e+01
nan nan 3.075000e+00 8.875000e+01
nan nan 3.075000e+00 8.925000e+01
nan nan 3.075000e+00 8.975000e+01
nan nan 3.075000e+00 9.025000e+01
nan nan 3.075000e+00 9.075000e+01
nan nan 3.075000e+00 9.125000e+01
nan nan 3.075000e+00 9.175000e+01
nan nan 3.075000e+00 9.225000e+01
nan nan 3.075000e+00 9.275000e+01
nan nan 3.075000e+00 9.325000e+01
nan nan 3.075000e+00 9.375000e+01
nan nan 3.075000e+00 9.425000e+01
nan nan 3.075000e+00 9.475000e+01
nan nan 3.075000e+00 9.525000e+01
nan nan 3.075000e+00 9.575000e+01
nan nan 3.075000e+00 9.625000e+01
nan nan 3.075000e+00 9.675000e+01
nan nan 3.075000e+00 9.725000e+01
nan nan 3.075000e+00 9.775000e+01
nan nan 3.075000e+00 9.825000e+01
nan nan 3.075000e+00 9.875000e+01
nan nan 3.075000e+00 9.925000e+01
nan nan 3.075000e+00 9.975000e+01
5.682134e-05 1.037443e-05 3.125000e+00 5.025000e+01
4.831392e-05 9.663289e-06 3.125000e+00 5.075000e+01
5.489819e-05 1.019486e-05 3.125000e+00 5.125000e+01
7.122198e-05 1.140524e-05 3.125000e+00 5.175000e+01
4.891432e-05 9.244365e-06 3.125000e+00 5.225000e+01
7.375197e-05 1.111904e-05 3.125000e+00 5.275000e+01
6.172385e-05 1.001335e-05 3.125000e+00 5.325000e+01
7.585265e-05 1.106477e-05 3.125000e+00 5.375000e+01
6.200609e-05 1.033466e-05 3.125000e+00 5.425000e+01
6.692341e-05 1.071692e-05 3.125000e+00 5.475000e+01
7.021186e-05 1.083439e-05 3.125000e+00 5.525000e+01
4.423767e-05 8.513955e-06 3.125000e+00 5.575000e+01
5.111126e-05 9.035698e-06 3.125000e+00 5.625000e+01
4.071735e-05 7.985615e-06 3.125000e+00 5.675000e+01
5.418800e-05 9.433304e-06 3.125000e+00 5.725000e+01
5.479711e-05 9.539273e-06 3.125000e+00 5.775000e+01
7.396069e-05 1.090535e-05 3.125000e+00 5.825000e+01
4.102952e-05 8.047037e-06 3.125000e+00 5.875000e+01
4.490544e-05 8.338996e-06 3.125000e+00 5.925000e+01
4.380956e-05 8.279573e-06 3.125000e+00 5.975000e+01
6.337649e-05 1.014876e-05 3.125000e+00 6.025000e+01
4.338343e-05 8.349394e-06 3.125000e+00 6.075000e+01
4.783322e-05 8.733431e-06 3.125000e+00 6.125000e+01
5.638075e-05 9.397052e-06 3.125000e+00 6.175000e+01
6.456795e-05 1.033946e-05 3.125000e+00 6.225000e+01
6.183406e-05 1.016578e-05 3.125000e+00 6.275000e+01
4.503541e-05 8.667269e-06 3.125000e+00 6.325000e+01
6.137739e-05 9.957025e-06 3.125000e+00 6.375000e+01
6.041466e-05 1.021212e-05 3.125000e+00 6.425000e+01
3.330863e-05 7.641784e-06 3.125000e+00 6.475000e+01
4.862089e-05 9.028986e-06 3.125000e+00 6.525000e+01
4.253837e-05 8.507882e-06 3.125000e+00 6.575000e+01
2.173264e-05 6.273843e-06 3.125000e+00 6.625000e+01
3.642293e-05 7.948294e-06 3.125000e+00 6.675000e+01
3.103144e-05 7.314387e-06 3.125000e+00 6.725000e+01
2.670955e-05 7.138551e-06 3.125000e+00 6.775000e+01
2.341434e-05 6.494127e-06 3.125000e+00 6.825000e+01
2.071862e-05 6.246968e-06 3.125000e+00 6.875000e+01
3.099742e-05 8.003640e-06 3.125000e+00 6.925000e+01
2.729062e-05 7.293898e-06 3.125000e+00 6.975000e+01
2.688580e-05 7.761549e-06 3.125000e+00 7.025000e+01
3.219672e-05 8.313355e-06 3.125000e+00 7.075000e+01
3.502619e-05 9.043879e-06 3.125000e+00 7.125000e+01
1.410405e-05 5.757955e-06 3.125000e+00 7.175000e+01
2.137464e-05 7.125072e-06 3.125000e+00 7.225000e+01
2.234908e-05 7.449841e-06 3.125000e+00 7.275000e+01
2.546362e-05 8.052493e-06 3.125000e+00 7.325000e+01
5.295872e-05 1.184229e-05 3.125000e+00 7.375000e+01
3.519731e-05 9.762205e-06 3.125000e+00 7.425000e+01
1.057985e-05 5.290000e-06 3.125000e+00 7.475000e+01
2.710573e-05 8.571809e-06 3.125000e+00 7.525000e+01
1.853785e-05 7.006700e-06 3.125000e+00 7.575000e+01
2.591630e-05 8.195584e-06 3.125000e+00 7.625000e+01
1.801084e-05 6.367886e-06 3.125000e+00 7.675000e+01
2.240467e-05 6.755432e-06 3.125000e+00 7.725000e+01
2.111626e-05 6.366911e-06 3.125000e+00 7.775000e+01
2.100076e-05 6.332035e-06 3.125000e+00 7.825000e+01
2.453431e-05 6.804728e-06 3.125000e+00 7.875000e+01
2.431618e-05 6.744208e-06 3.125000e+00 7.925000e+01
2.028033e-05 6.114826e-06 3.125000e+00 7.975000e+01
9.189118e-06 4.109565e-06 3.125000e+00 8.025000e+01
2.237974e-05 6.460597e-06 3.125000e+00 8.075000e+01
