# Intensity Error [H,0,0] DeltaE
#  shape: 140x100
4.497472e-05 8.655917e-06 3.025000e+00 5.025000e+01
3.997674e-05 7.995662e-06 3.025000e+00 5.075000e+01
3.857136e-05 7.714658e-06 3.025000e+00 5.125000e+01
4.370589e-05 8.116499e-06 3.025000e+00 5.175000e+01
3.685199e-05 7.370773e-06 3.025000e+00 5.225000e+01
2.283687e-05 5.896684e-06 3.025000e+00 5.275000e+01
4.942193e-05 8.737019e-06 3.025000e+00 5.325000e+01
3.909771e-05 7.667914e-06 3.025000e+00 5.375000e+01
2.931407e-05 6.554992e-06 3.025000e+00 5.425000e+01
3.920535e-05 7.545438e-06 3.025000e+00 5.475000e+01
3.303352e-05 6.888257e-06 3.025000e+00 5.525000e+01
3.371553e-05 7.030431e-06 3.025000e+00 5.575000e+01
3.502167e-05 7.302707e-06 3.025000e+00 5.625000e+01
3.584025e-05 7.316222e-06 3.025000e+00 5.675000e+01
4.827239e-05 8.533764e-06 3.025000e+00 5.725000e+01
4.445266e-05 8.116183e-06 3.025000e+00 5.775000e+01
5.785441e-05 9.264443e-06 3.025000e+00 5.825000e+01
4.579602e-05 8.504392e-06 3.025000e+00 5.875000e+01
3.755134e-05 7.665424e-06 3.025000e+00 5.925000e+01
5.828890e-05 9.582835e-06 3.025000e+00 5.975000e+01
4.958832e-05 8.632394e-06 3.025000e+00 6.025000e+01
7.295999e-05 1.075770e-05 3.025000e+00 6.075000e+01
6.351841e-05 1.017138e-05 3.025000e+00 6.125000e+01
7.921059e-05 1.131608e-05 3.025000e+00 6.175000e+01
5.476104e-05 9.127114e-06 3.025000e+00 6.225000e+01
5.973819e-05 9.821101e-06 3.025000e+00 6.275000e+01
4.298358e-05 8.429991e-06 3.025000e+00 6.325000e+01
3.137293e-05 7.015310e-06 3.025000e+00 6.375000e+01
3.474569e-05 7.408100e-06 3.025000e+00 6.425000e+01
4.368813e-05 8.738002e-06 3.025000e+00 6.475000e+01
4.873339e-05 9.049855e-06 3.025000e+00 6.525000e+01
4.722422e-05 8.924655e-06 3.025000e+00 6.575000e+01
4.450035e-05 9.279227e-06 3.025000e+00 6.625000e+01
4.140543e-05 8.633981e-06 3.025000e+00 6.675000e+01
2.279496e-05 6.580471e-06 3.025000e+00 6.725000e+01
4.953220e-05 1.011075e-05 3.025000e+00 6.775000e+01
3.596982e-05 8.252081e-06 3.025000e+00 6.825000e+01
5.901118e-05 1.115221e-05 3.025000e+00 6.875000e+01
5.026690e-05 9.858501e-06 3.025000e+00 6.925000e+01
4.537558e-05 9.674313e-06 3.025000e+00 6.975000e+01
3.078322e-05 7.948373e-06 3.025000e+00 7.025000e+01
5.224198e-05 1.044875e-05 3.025000e+00 7.075000e+01
2.577294e-05 7.440301e-06 3.025000e+00 7.125000e+01
2.982379e-05 7.970907e-06 3.025000e+00 7.175000e+01
2.973426e-05 8.247077e-06 3.025000e+00 7.225000e+01
3.110986e-05 8.314674e-06 3.025000e+00 7.275000e+01
2.529604e-05 7.302505e-06 3.025000e+00 7.325000e+01
4.470710e-05 8.768034e-06 3.025000e+00 7.375000e+01
4.063651e-05 7.679800e-06 3.025000e+00 7.425000e+01
4.420730e-05 7.581649e-06 3.025000e+00 7.475000e+01
4.816941e-05 7.814240e-06 3.025000e+00 7.525000e+01
3.139060e-05 6.278298e-06 3.025000e+00 7.575000e+01
3.626035e-05 6.733577e-06 3.025000e+00 7.625000e+01
3.599115e-05 6.683510e-06 3.025000e+00 7.675000e+01
3.665700e-05 6.692751e-06 3.025000e+00 7.725000e+01
3.292332e-05 6.222006e-06 3.025000e+00 7.775000e+01
3.391788e-05 6.091927e-06 3.025000e+00 7.825000e+01
3.094583e-05 5.558097e-06 3.025000e+00 7.875000e+01
3.799272e-05 6.007304e-06 3.025000e+00 7.925000e+01
2.934370e-05 5.270377e-06 3.025000e+00 7.975000e+01
4.388558e-05 6.470645e-06 3.025000e+00 8.025000e+01
3.167927e-05 5.514692e-06 3.025000e+00 8.075000e+01
4.110727e-05 6.343047e-06 3.025000e+00 8.125000e+01
3.838655e-05 6.227161e-06 3.025000e+00 8.175000e+01
3.202390e-05 5.846785e-06 3.025000e+00 8.225000e+01
4.018855e-05 6.276432e-06 3.025000e+00 8.275000e+01
4.126601e-05 5.722585e-06 3.025000e+00 8.325000e+01
3.368430e-05 4.913371e-06 3.025000e+00 8.375000e+01
1.418399e-05 3.440131e-06 3.025000e+00 8.425000e+01
6.282942e-06 3.627458e-06 3.025000e+00 8.475000e+01
0.000000e+00 0.000000e+00 3.025000e+00 8.525000e+01
nan nan 3.025000e+00 8.575000e+01
nan nan 3.025000e+00 8.625000e+01
nan nan 3.025000e+00 8.675000e+01
nan nan 3.025000e+00 8.725000e+01
nan nan 3.025000e+00 8.775000e+01
nan nan 3.025000e+00 8.825000e+01
nan nan 3.025000e+00 8.875000e+01
nan nan 3.025000e+00 8.925000e+01
nan nan 3.025000e+00 8.975000e+01
nan nan 3.025000e+00 9.025000e+01
nan nan 3.025000e+00 9.075000e+01
nan nan 3.025000e+00 9.125000e+01
nan nan 3.025000e+00 9.175000e+01
nan nan 3.025000e+00 9.225000e+01
nan nan 3.025000e+00 9.275000e+01
nan nan 3.025000e+00 9.325000e+01
nan nan 3.025000e+00 9.375000e+01
nan nan 3.025000e+00 9.425000e+01
nan nan 3.025000e+00 9.475000e+01
nan nan 3.025000e+00 9.525000e+01
nan nan 3.025000e+00 9.575000e+01
nan nan 3.025000e+00 9.625000e+01
nan nan 3.025000e+00 9.675000e+01
nan nan 3.025000e+00 9.725000e+01
nan nan 3.025000e+00 9.775000e+01
nan nan 3.025000e+00 9.825000e+01
nan nan 3.025000e+00 9.875000e+01
nan nan 3.025000e+00 9.925000e+01
nan nan 3.025000e+00 9.975000e+01
4.921034e-05 9.300347e-06 3.075000e+00 5.025000e+01
3.943638e-05 8.223497e-06 3.075000e+00 5.075000e+01
5.436924e-05 9.464981e-06 3.075000e+00 5.125000e+01
3.151096e-05 7.046423e-06 3.075000e+00 5.175000e+01
4.573152e-05 8.349871e-06 3.075000e+00 5.225000e+01
4.338735e-05 8.057203e-06 3.075000e+00 5.275000e+01
3.650667e-05 7.452203e-06 3.075000e+00 5.325000e+01
3.139543e-05 7.020574e-06 3.075000e+00 5.375000e+01
3.562395e-05 7.428451e-06 3.075000e+00 5.425000e+01
4.835561e-05 8.548460e-06 3.075000e+00 5.475000e+01
4.432848e-05 8.093612e-06 3.075000e+00 5.525000e+01
4.807687e-05 8.369459e-06 3.075000e+00 5.575000e+01
